UV 1_280,UV 1_280,Cond,UV 2_214,Conc B,,UV 2_214,
ml,mAU,ml,mS/cm,ml,%,ml,mAU
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,%,UV 2_214 ml,mAU
0.170574,2.918606,0.374394,2.97596,2.005772,100,0.984471,52.895992
0.171408,2.918168,0.376061,2.975947,2.014103,100,0.988637,52.892708
0.172241,2.917675,0.377727,2.975993,2.022434,100,0.992803,52.889858
0.173074,2.917122,0.379394,2.975978,2.030765,100,0.996969,52.887379
0.173908,2.91655,0.38106,2.975967,2.039095,100,1.001136,52.887718
0.174741,2.91592,0.382727,2.975969,2.047426,100,1.005302,52.89098
0.175574,2.915105,0.384393,2.975964,2.055757,100,1.009468,52.900261
0.176407,2.914147,0.38606,2.975976,2.064088,100,1.013634,52.912857
0.177241,2.913194,0.387727,2.975906,2.072419,100,1.017801,52.924488
0.178074,2.912241,0.389393,2.97589,2.08075,100,1.021967,52.940773
0.178907,2.91141,0.39106,2.975871,2.089081,100,1.026133,52.956249
0.179741,2.910716,0.392726,2.975846,2.097412,100,1.0303,52.971588
0.180574,2.910022,0.394393,2.97584,2.105742,100,1.034466,52.985588
0.181407,2.909467,0.39606,2.975824,2.114073,100,1.038632,52.99749
0.18224,2.909086,0.397726,2.975829,2.122404,100,1.042798,53.014065
0.183074,2.908736,0.399393,2.975836,2.130735,100,1.046965,53.02739
0.183907,2.908386,0.401059,2.975863,2.139066,100,1.051131,53.033611
0.18474,2.90806,0.402726,2.975897,2.147397,100,1.055297,53.037693
0.185574,2.907784,0.404393,2.975904,2.155728,100,1.059463,53.043953
0.186407,2.907536,0.406059,2.975877,2.164058,100,1.06363,53.045319
0.18724,2.907358,0.407726,2.975858,2.17239,100,1.067796,53.041428
0.188073,2.907398,0.409392,2.975852,2.18072,100,1.071962,53.03677
0.188907,2.90757,0.411059,2.975857,2.189051,100,1.076128,53.035133
0.18974,2.907743,0.412725,2.975865,2.197382,100,1.080295,53.029552
0.190573,2.907915,0.414392,2.975899,2.205713,100,1.084461,53.014904
0.191407,2.90803,0.416059,2.975916,2.214044,100,1.088627,52.998035
0.19224,2.908061,0.417725,2.975991,2.222375,100,1.092793,52.985733
0.193073,2.908063,0.419392,2.976056,2.230705,100,1.09696,52.971447
0.193906,2.908082,0.421058,2.976069,2.239036,100,1.101126,52.951126
0.19474,2.90812,0.422725,2.976109,2.247367,100,1.105292,52.928692
0.195573,2.908163,0.424392,2.97612,2.255698,100,1.109458,52.902836
0.196406,2.908205,0.426058,2.976106,2.264029,100,1.113625,52.871235
0.19724,2.908248,0.427725,2.976084,2.27236,100,1.117791,52.852448
0.198073,2.90833,0.429391,2.976064,2.280691,100,1.121957,52.837395
0.198906,2.908437,0.431058,2.976096,2.289022,100,1.126124,52.80545
0.199739,2.908543,0.432724,2.976077,2.297353,100,1.13029,52.779099
0.200573,2.908644,0.434391,2.976084,2.305683,100,1.134456,52.74865
0.201406,2.908743,0.436058,2.976094,2.314014,100,1.138622,52.705948
0.202239,2.908841,0.437724,2.976084,2.322345,100,1.142789,52.666874
0.203073,2.908937,0.439391,2.976059,2.330676,100,1.146955,52.632435
0.203906,2.908982,0.441057,2.976068,2.339007,100,1.151121,52.612827
0.204739,2.908942,0.442724,2.976059,2.347338,100,1.155287,52.599861
0.205572,2.908873,0.444391,2.976105,2.355669,100,1.159454,52.570946
0.206406,2.908681,0.446057,2.976099,2.364,100,1.16362,52.533798
0.207239,2.908246,0.447724,2.976062,2.37233,100,1.167786,52.517185
0.208072,2.907712,0.44939,2.976008,2.380661,100,1.171952,52.499756
0.208906,2.907175,0.451057,2.975936,2.388992,100,1.176119,52.487343
