UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
0.174849,0.963902,0.371537,3.121799,1.965221,100
0.175682,0.963683,0.373204,3.121821,1.973552,100
0.176515,0.963529,0.374871,3.121766,1.981884,100
0.177348,0.963523,0.376537,3.121732,1.990215,100
0.178182,0.963534,0.378204,3.121721,1.998547,100
0.179015,0.963546,0.379871,3.121708,2.006878,100
0.179848,0.963511,0.381537,3.121695,2.015209,100
0.180681,0.96346,0.383204,3.121632,2.023541,100
0.181514,0.963408,0.384871,3.121651,2.031872,100
0.182348,0.963356,0.386537,3.12163,2.040204,100
0.183181,0.963364,0.388204,3.121555,2.048535,100
0.184014,0.963436,0.38987,3.121541,2.056867,100
0.184847,0.963513,0.391537,3.121553,2.065198,100
0.185681,0.963681,0.393204,3.121549,2.073529,100
0.186514,0.964209,0.39487,3.121486,2.081861,100
0.187347,0.964764,0.396537,3.121499,2.090192,100
0.18818,0.965316,0.398204,3.121543,2.098524,100
0.189014,0.965867,0.39987,3.121531,2.106855,100
0.189847,0.966805,0.401537,3.121524,2.115186,100
0.19068,0.967858,0.403204,3.121474,2.123518,100
0.191513,0.968894,0.40487,3.121495,2.131849,100
0.192346,0.969841,0.406537,3.121433,2.140181,100
0.19318,0.970693,0.408204,3.12142,2.148512,100
0.194013,0.971535,0.40987,3.121432,2.156843,100
0.194846,0.972385,0.411537,3.121461,2.165175,100
0.195679,0.97313,0.413203,3.121537,2.173506,100
0.196513,0.973489,0.41487,3.121562,2.181838,100
0.197346,0.973848,0.416537,3.121603,2.190169,100
0.198179,0.974204,0.418203,3.121659,2.198501,100
0.199012,0.974462,0.41987,3.121666,2.206832,100
0.199846,0.974713,0.421537,3.121654,2.215163,100
0.200679,0.974983,0.423203,3.121656,2.223495,100
0.201512,0.975263,0.42487,3.121639,2.231826,100
0.202345,0.97517,0.426537,3.121652,2.240158,100
0.203178,0.974707,0.428203,3.121667,2.248489,100
0.204012,0.974159,0.42987,3.121655,2.25682,100
0.204845,0.973589,0.431537,3.121652,2.265152,100
0.205678,0.972921,0.433203,3.121646,2.273483,100
0.206511,0.97222,0.43487,3.12165,2.281815,100
0.207345,0.971528,0.436536,3.121626,2.290146,100
0.208178,0.970829,0.438203,3.121575,2.298477,100
0.209011,0.970616,0.43987,3.121583,2.306809,100
0.209844,0.970538,0.441536,3.121571,2.31514,100
0.210678,0.970462,0.443203,3.121553,2.323472,100
0.211511,0.970424,0.44487,3.121561,2.331803,100
0.212344,0.970438,0.446536,3.121592,2.340135,100
0.213177,0.970462,0.448203,3.121535,2.348466,100
0.21401,0.970486,0.44987,3.121505,2.356797,100
0.214844,0.970524,0.451536,3.121521,2.365129,100
0.215677,0.970597,0.453203,3.121499,2.37346,100
0.21651,0.970677,0.45487,3.121525,2.381792,100
0.217343,0.970757,0.456536,3.121532,2.390123,100
0.218177,0.971208,0.458203,3.121511,2.398454,100
0.21901,0.971777,0.459869,3.121488,2.406786,100
0.219843,0.972353,0.461536,3.121503,2.415117,100
0.220676,0.972934,0.463203,3.121533,2.423449,100
0.22151,0.973554,0.464869,3.121535,2.43178,100
0.222343,0.974192,0.466536,3.121486,2.440111,100
0.223176,0.974832,0.468203,3.121511,2.448443,100
0.224009,0.975374,0.469869,3.12151,2.456774,100
0.224842,0.975753,0.471536,3.121526,2.465106,100
0.225676,0.976111,0.473203,3.121563,2.473437,100
0.226509,0.976466,0.474869,3.121547,2.481768,100
0.227342,0.97674,0.476536,3.121557,2.4901,100
0.228175,0.976665,0.478203,3.121555,2.498431,100
0.229009,0.976546,0.479869,3.121579,2.506763,100
0.229842,0.976426,0.481536,3.121613,2.515094,100
0.230675,0.976173,0.483202,3.121643,2.523426,100
0.231508,0.975885,0.484869,3.121661,2.531757,100
0.232342,0.975598,0.486536,3.121694,2.540088,100
0.233175,0.975313,0.488202,3.121744,2.54842,100
0.234008,0.975115,0.489869,3.121746,2.556751,100
0.234841,0.975022,0.491536,3.121752,2.565083,100
0.235674,0.974939,0.493202,3.121791,2.573414,100
0.236508,0.974908,0.494869,3.121784,2.581745,100
0.237341,0.9751,0.496536,3.121757,2.590077,100
0.238174,0.97531,0.498202,3.121741,2.598408,100
0.239007,0.975523,0.499869,3.121685,2.60674,100
0.239841,0.975733,0.501536,3.121634,2.615071,100
0.240674,0.976009,0.503202,3.121635,2.623402,100
0.241507,0.976297,0.504869,3.121632,2.631734,100
0.24234,0.976588,0.506535,3.121634,2.640065,100
0.243174,0.976969,0.508202,3.121649,2.648397,100
0.244007,0.977394,0.509869,3.121641,2.656728,100
0.24484,0.977824,0.511535,3.121588,2.66506,100
0.245673,0.97825,0.513202,3.121582,2.673391,100
0.246506,0.978706,0.514869,3.121604,2.681722,100
0.24734,0.979284,0.516535,3.12159,2.690054,100
0.248173,0.979855,0.518202,3.121593,2.698385,100
0.249006,0.980437,0.519869,3.121621,2.706717,100
0.249839,0.980544,0.521535,3.121687,2.715048,100
0.250673,0.980644,0.523202,3.121767,2.723379,100
0.251506,0.980745,0.524869,3.121806,2.731711,100
0.252339,0.980837,0.526535,3.121819,2.740042,100
0.253172,0.980886,0.528202,3.121804,2.748374,100
0.254006,0.980897,0.529868,3.121831,2.756705,100
0.254839,0.980897,0.531535,3.121828,2.765036,100
0.255672,0.981058,0.533202,3.121768,2.773368,100
0.256505,0.981434,0.534868,3.121785,2.781699,100
0.257338,0.981869,0.536535,3.121779,2.790031,100
0.258172,0.982301,0.538202,3.121779,2.798362,100
0.259005,0.982732,0.539868,3.121787,2.806694,100
0.259838,0.982821,0.541535,3.121781,2.815025,100
0.260671,0.982768,0.543202,3.121786,2.823356,100
0.261505,0.982702,0.544868,3.121772,2.831688,100
0.262338,0.982364,0.546535,3.121743,2.840019,100
0.263171,0.981913,0.548202,3.12174,2.848351,100
0.264004,0.981451,0.549868,3.121747,2.856682,100
0.264838,0.980992,0.551535,3.121718,2.865013,100
0.265671,0.980624,0.553201,3.121717,2.873345,100
0.266504,0.980417,0.554868,3.121723,2.881676,100
0.267337,0.980244,0.556535,3.121728,2.890007,100
0.26817,0.980016,0.558201,3.121673,2.898339,100
0.269004,0.979652,0.559868,3.121628,2.90667,100
0.269837,0.979259,0.561535,3.121606,2.915002,100
0.27067,0.978864,0.563201,3.121571,2.923333,100
0.271503,0.978471,0.564868,3.121554,2.931665,100
0.272337,0.978204,0.566535,3.121584,2.939996,100
0.27317,0.977977,0.568201,3.12158,2.948327,100
0.274003,0.977752,0.569868,3.12157,2.956659,100
0.274836,0.977656,0.571535,3.121593,2.96499,100
0.27567,0.977617,0.573201,3.121563,2.973322,100
0.276503,0.977585,0.574868,3.121561,2.981653,100
0.277336,0.977553,0.576534,3.121588,2.989985,100
0.278169,0.977471,0.578201,3.121618,2.998316,100
0.279002,0.977176,0.579868,3.121628,3.006647,100
